Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HY,AY,HR,AR,HC,AC,HST,AST,HF,AF,BTTS,HomeGoalsAvg,AwayGoalsAvg,GoalDiff,HY_avg,AY_avg,HR_avg,AR_avg,HC_avg,AC_avg,HST_avg,AST_avg,HF_avg,AF_avg,Home_Win_Streak,Home_BTTS_Streak,Home_CleanSheet_Streak,Away_Win_Streak,Away_BTTS_Streak,Away_CleanSheet_Streak
2025-09-20,Wolves,Leeds,1,3,A,1,1,0,0,4,0,6,4,11,9,1,0.875,0.8571428571428571,0.017857142857142905,1.5,1.2857142857142858,0.0,0.0,2.75,3.142857142857143,3.375,3.0,14.125,10.142857142857142,0,1,0,1,5,0
2025-09-20,Man United,Chelsea,2,1,H,0,5,1,1,5,5,4,1,13,14,1,1.7142857142857142,1.875,-0.1607142857142858,1.2857142857142858,2.25,0.14285714285714285,0.25,4.714285714285714,4.25,6.0,5.0,10.142857142857142,11.875,2,4,0,2,2,3
2025-09-20,Fulham,Brentford,3,1,H,4,1,0,0,2,10,3,3,11,13,1,1.75,0.75,1.0,1.25,2.0,0.0,0.0,6.25,6.5,4.0,3.125,10.75,11.0,2,3,1,2,3,0
2025-09-21,Bournemouth,Newcastle,0,0,D,2,1,0,0,5,2,2,1,7,10,0,1.25,1.0,0.25,2.125,1.0,0.0,0.0,5.25,4.571428571428571,4.875,3.142857142857143,12.375,10.571428571428571,0,2,1,3,5,0
2025-09-21,Sunderland,Aston Villa,1,1,D,2,1,1,0,6,5,4,2,14,8,1,2.0,1.2857142857142858,0.7142857142857142,2.142857142857143,1.7142857142857142,0.14285714285714285,0.0,4.142857142857143,5.142857142857143,3.5714285714285716,3.2857142857142856,10.714285714285714,10.714285714285714,1,3,0,5,3,2
2025-09-21,Arsenal,Man City,1,1,D,1,2,0,0,11,2,3,3,11,10,1,2.5714285714285716,1.8571428571428572,0.7142857142857144,0.42857142857142855,2.2857142857142856,0.0,0.0,5.857142857142857,4.142857142857143,5.142857142857143,3.7142857142857144,9.285714285714286,9.714285714285714,2,4,1,4,3,2
2025-09-27,Brentford,Man United,3,1,H,2,2,0,0,4,2,8,6,14,10,1,2.142857142857143,1.75,0.3928571428571428,2.0,1.375,0.0,0.0,4.285714285714286,4.625,4.857142857142857,5.0,10.285714285714286,10.375,2,3,0,2,4,0
2025-09-27,Chelsea,Brighton,1,3,A,3,5,1,0,5,7,3,3,9,16,1,1.4285714285714286,1.2857142857142858,0.1428571428571428,1.4285714285714286,3.2857142857142856,0.2857142857142857,0.0,7.285714285714286,5.285714285714286,5.285714285714286,4.142857142857143,11.142857142857142,12.142857142857142,2,2,3,2,3,2
2025-09-27,Crystal Palace,Liverpool,2,1,H,1,3,0,0,2,6,7,4,10,8,1,1.2857142857142858,1.625,-0.3392857142857142,1.4285714285714286,2.375,0.0,0.0,4.0,4.875,4.428571428571429,4.0,10.0,11.625,3,2,3,1,2,1
2025-09-27,Leeds,Bournemouth,2,2,D,2,2,0,0,7,4,8,5,12,13,1,1.625,1.5714285714285714,0.0535714285714286,2.125,3.0,0.0,0.14285714285714285,4.75,5.714285714285714,4.5,4.857142857142857,11.5,13.714285714285714,1,5,0,0,2,1
